exp,model_type,target_type,condition,model,surp
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,1.2052640914916992
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,2.66151762008667
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,1.6456117630004883
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,2.6192245483398438
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,1.785506248474121
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,1.0547237396240234
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,1.7217483520507812
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,-0.001687765121459961
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,-4.1604042053222656e-05
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.01239025592803955
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,-0.004267692565917969
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-0.003509044647216797
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,0.4016602039337158
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,0.7867538928985596
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,0.29389679431915283
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,0.461564302444458
def,ordered,unreduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,0.8722274303436279
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,2.551344633102417
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,2.0265567302703857
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,1.8172821998596191
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,2.4291703701019287
def,shuffled,unreduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.78662109375
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,1.9768378734588623
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,2.0289669036865234
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,1.8583663702011108
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,2.229610323905945
def,ordered,unreduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,1.956288456916809
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,0.015396833419799805
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,0.008820533752441406
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,0.008159756660461426
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.013023018836975098
def,shuffled,reduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-0.04209244251251221
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,-0.12052834033966064
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,0.6441174745559692
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,0.10029876232147217
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.18022418022155762
def,ordered,reduced,New_Old_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,-0.07286369800567627
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,1.0869123935699463
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,-1.1659443378448486
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,1.1525917053222656
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,4.228894352912903
def,shuffled,reduced,New_Indef_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,0.1463031768798828
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_a_10-d0.2.pt,1.5213011503219604
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_b_11-d0.2.pt,2.26461923122406
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_c_12-d0.2.pt,2.8589237928390503
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_d_13-d0.2.pt,-0.2507505416870117
def,ordered,reduced,New_Indef_Def,models/ordered/ordered_LSTM_400_80m_e_14-d0.2.pt,0.9010001420974731
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_a_10-d0.2.pt,-0.003494739532470703
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_b_11-d0.2.pt,-0.004151701927185059
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_c_12-d0.2.pt,-0.004258155822753906
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_d_13-d0.2.pt,0.0018748044967651367
def,shuffled,unreduced,New_Old_Def,models/shuffled/shuffled_LSTM_400_80m_e_14-d0.2.pt,-0.005221724510192871
